spend_multiplier,spending_rule,use_dynamic_spending,initial_money,initial_annual_cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.75,5.5,1,7363.636363636364,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9988,0.9974,0.9964,0.9928,0.9898,0.9844,0.978,0.9694,0.961,0.953,0.9456,0.937,0.9286,0.9184,0.908,0.9002,0.8914,0.8822,0.8748,0.8674,0.8622,0.855,0.8492,0.8444,0.8416
0.75,6.0,0,6750.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9986,0.9976,0.9968,0.9952,0.993,0.991,0.9876,0.9844,0.9782,0.9744,0.9698,0.9652000000000001,0.9598,0.9566,0.95,0.9452,0.9388,0.9328,0.9266,0.9224,0.9168000000000001,0.9134,0.9096,0.906
0.75,6.0,1,6750.0,405.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9978,0.9966,0.9926,0.9884,0.9824,0.9732,0.9652000000000001,0.9542,0.945,0.9352,0.922,0.9086,0.898,0.884,0.8728,0.859,0.8486,0.8392,0.8288,0.8196,0.8126,0.8042,0.7956,0.7918000000000001,0.7867999999999999
1.0,1.5,0,36000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.5,1,36000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,0,27000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1,27000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
1.0,2.5,0,21600.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998,0.9996,0.9994,0.9994,0.9994,0.9994
1.0,2.5,1,21600.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
1.0,3.0,0,18000.0,540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0.9992,0.9992,0.999,0.999,0.9986,0.9984,0.9982,0.9978,0.9976,0.9974,0.9972,0.997
