rule,strategy,year,survival_rate
4.0,DRv2_DSv1,42,0.788
4.0,DRv2_DSv1,43,0.7815
4.0,DRv2_DSv1,44,0.7775
4.0,DRv2_DSv1,45,0.7745
4.0,DRv2_DSv1,46,0.7705
4.0,DRv2_DSv1,47,0.7685
4.0,DRv2_DSv1,48,0.765
4.0,DRv2_DSv1,49,0.757
4.0,DRv2_DSv1,50,0.754
4.0,DRv2_DSv1,51,0.7475
4.0,DRv2_DSv1,52,0.7455
4.0,DRv2_DSv1,53,0.742
4.0,DRv2_DSv1,54,0.7365
4.0,DRv2_DSv1,55,0.73
4.0,DRv2_DSv2,0,1.0
4.0,DRv2_DSv2,1,1.0
4.0,DRv2_DSv2,2,1.0
4.0,DRv2_DSv2,3,1.0
4.0,DRv2_DSv2,4,1.0
4.0,DRv2_DSv2,5,1.0
4.0,DRv2_DSv2,6,1.0
4.0,DRv2_DSv2,7,1.0
4.0,DRv2_DSv2,8,1.0
4.0,DRv2_DSv2,9,0.9995
4.0,DRv2_DSv2,10,0.9995
4.0,DRv2_DSv2,11,0.9975
4.0,DRv2_DSv2,12,0.995
4.0,DRv2_DSv2,13,0.9935
4.0,DRv2_DSv2,14,0.984
4.0,DRv2_DSv2,15,0.975
4.0,DRv2_DSv2,16,0.968
4.0,DRv2_DSv2,17,0.958
4.0,DRv2_DSv2,18,0.9485
4.0,DRv2_DSv2,19,0.938
4.0,DRv2_DSv2,20,0.9305
4.0,DRv2_DSv2,21,0.9265
4.0,DRv2_DSv2,22,0.923
4.0,DRv2_DSv2,23,0.9215
4.0,DRv2_DSv2,24,0.921
4.0,DRv2_DSv2,25,0.919
4.0,DRv2_DSv2,26,0.918
4.0,DRv2_DSv2,27,0.916
4.0,DRv2_DSv2,28,0.9135
4.0,DRv2_DSv2,29,0.9125
4.0,DRv2_DSv2,30,0.911
4.0,DRv2_DSv2,31,0.911
4.0,DRv2_DSv2,32,0.9105
4.0,DRv2_DSv2,33,0.9095
4.0,DRv2_DSv2,34,0.9095
4.0,DRv2_DSv2,35,0.9095
4.0,DRv2_DSv2,36,0.9095
4.0,DRv2_DSv2,37,0.9085
4.0,DRv2_DSv2,38,0.9085
4.0,DRv2_DSv2,39,0.9085
4.0,DRv2_DSv2,40,0.9085
4.0,DRv2_DSv2,41,0.9085
4.0,DRv2_DSv2,42,0.9085
4.0,DRv2_DSv2,43,0.9085
4.0,DRv2_DSv2,44,0.9085
4.0,DRv2_DSv2,45,0.9085
4.0,DRv2_DSv2,46,0.9085
4.0,DRv2_DSv2,47,0.9085
4.0,DRv2_DSv2,48,0.9085
4.0,DRv2_DSv2,49,0.9085
4.0,DRv2_DSv2,50,0.9085
4.0,DRv2_DSv2,51,0.9085
4.0,DRv2_DSv2,52,0.9085
4.0,DRv2_DSv2,53,0.9085
4.0,DRv2_DSv2,54,0.9085
4.0,DRv2_DSv2,55,0.9085
4.5,DRv2_DSv1,0,1.0
4.5,DRv2_DSv1,1,1.0
4.5,DRv2_DSv1,2,1.0
4.5,DRv2_DSv1,3,1.0
4.5,DRv2_DSv1,4,1.0
4.5,DRv2_DSv1,5,1.0
4.5,DRv2_DSv1,6,1.0
4.5,DRv2_DSv1,7,1.0
4.5,DRv2_DSv1,8,0.9995
4.5,DRv2_DSv1,9,0.9995
4.5,DRv2_DSv1,10,0.9975
4.5,DRv2_DSv1,11,0.9935
4.5,DRv2_DSv1,12,0.989
4.5,DRv2_DSv1,13,0.9805
4.5,DRv2_DSv1,14,0.969
4.5,DRv2_DSv1,15,0.9555
4.5,DRv2_DSv1,16,0.94
4.5,DRv2_DSv1,17,0.919
4.5,DRv2_DSv1,18,0.9055
4.5,DRv2_DSv1,19,0.8845
4.5,DRv2_DSv1,20,0.8635
4.5,DRv2_DSv1,21,0.854
4.5,DRv2_DSv1,22,0.8425
4.5,DRv2_DSv1,23,0.8325
4.5,DRv2_DSv1,24,0.823
4.5,DRv2_DSv1,25,0.8115
4.5,DRv2_DSv1,26,0.8025
4.5,DRv2_DSv1,27,0.7945
4.5,DRv2_DSv1,28,0.789
4.5,DRv2_DSv1,29,0.784
4.5,DRv2_DSv1,30,0.775
4.5,DRv2_DSv1,31,0.7685
4.5,DRv2_DSv1,32,0.761
4.5,DRv2_DSv1,33,0.7525
4.5,DRv2_DSv1,34,0.7465
4.5,DRv2_DSv1,35,0.7415
4.5,DRv2_DSv1,36,0.737
4.5,DRv2_DSv1,37,0.7315
4.5,DRv2_DSv1,38,0.7255
4.5,DRv2_DSv1,39,0.719
4.5,DRv2_DSv1,40,0.7135
4.5,DRv2_DSv1,41,0.7095
4.5,DRv2_DSv1,42,0.7015
4.5,DRv2_DSv1,43,0.6925
4.5,DRv2_DSv1,44,0.686
4.5,DRv2_DSv1,45,0.6795
4.5,DRv2_DSv1,46,0.674
4.5,DRv2_DSv1,47,0.669
4.5,DRv2_DSv1,48,0.6605
4.5,DRv2_DSv1,49,0.653
4.5,DRv2_DSv1,50,0.647
4.5,DRv2_DSv1,51,0.6425
4.5,DRv2_DSv1,52,0.635
4.5,DRv2_DSv1,53,0.629
4.5,DRv2_DSv1,54,0.625
4.5,DRv2_DSv1,55,0.62
4.5,DRv2_DSv2,0,1.0
4.5,DRv2_DSv2,1,1.0
4.5,DRv2_DSv2,2,1.0
4.5,DRv2_DSv2,3,1.0
4.5,DRv2_DSv2,4,1.0
4.5,DRv2_DSv2,5,1.0
4.5,DRv2_DSv2,6,1.0
4.5,DRv2_DSv2,7,1.0
4.5,DRv2_DSv2,8,1.0
4.5,DRv2_DSv2,9,0.9995
4.5,DRv2_DSv2,10,0.998
4.5,DRv2_DSv2,11,0.9955
4.5,DRv2_DSv2,12,0.989
4.5,DRv2_DSv2,13,0.9785
4.5,DRv2_DSv2,14,0.97
4.5,DRv2_DSv2,15,0.955
4.5,DRv2_DSv2,16,0.9395
4.5,DRv2_DSv2,17,0.926
4.5,DRv2_DSv2,18,0.9165
4.5,DRv2_DSv2,19,0.905
4.5,DRv2_DSv2,20,0.888
4.5,DRv2_DSv2,21,0.882
4.5,DRv2_DSv2,22,0.874
4.5,DRv2_DSv2,23,0.867
4.5,DRv2_DSv2,24,0.8605
4.5,DRv2_DSv2,25,0.856
4.5,DRv2_DSv2,26,0.852
4.5,DRv2_DSv2,27,0.8495
4.5,DRv2_DSv2,28,0.8465
4.5,DRv2_DSv2,29,0.8445
4.5,DRv2_DSv2,30,0.8425
4.5,DRv2_DSv2,31,0.841
4.5,DRv2_DSv2,32,0.84
4.5,DRv2_DSv2,33,0.8385
4.5,DRv2_DSv2,34,0.8385
4.5,DRv2_DSv2,35,0.838
4.5,DRv2_DSv2,36,0.8375
4.5,DRv2_DSv2,37,0.8375
4.5,DRv2_DSv2,38,0.837
4.5,DRv2_DSv2,39,0.837
4.5,DRv2_DSv2,40,0.8365
4.5,DRv2_DSv2,41,0.8365
4.5,DRv2_DSv2,42,0.8365
4.5,DRv2_DSv2,43,0.8365
4.5,DRv2_DSv2,44,0.836
4.5,DRv2_DSv2,45,0.836
4.5,DRv2_DSv2,46,0.836
4.5,DRv2_DSv2,47,0.836
4.5,DRv2_DSv2,48,0.836
4.5,DRv2_DSv2,49,0.836
4.5,DRv2_DSv2,50,0.836
4.5,DRv2_DSv2,51,0.836
4.5,DRv2_DSv2,52,0.836
4.5,DRv2_DSv2,53,0.836
4.5,DRv2_DSv2,54,0.836
4.5,DRv2_DSv2,55,0.836
5.0,DRv2_DSv1,0,1.0
5.0,DRv2_DSv1,1,1.0
5.0,DRv2_DSv1,2,1.0
5.0,DRv2_DSv1,3,1.0
5.0,DRv2_DSv1,4,1.0
5.0,DRv2_DSv1,5,1.0
5.0,DRv2_DSv1,6,1.0
5.0,DRv2_DSv1,7,1.0
5.0,DRv2_DSv1,8,0.9995
5.0,DRv2_DSv1,9,0.998
5.0,DRv2_DSv1,10,0.994
5.0,DRv2_DSv1,11,0.9895
5.0,DRv2_DSv1,12,0.9815
5.0,DRv2_DSv1,13,0.9625
5.0,DRv2_DSv1,14,0.949
5.0,DRv2_DSv1,15,0.9265
5.0,DRv2_DSv1,16,0.908
5.0,DRv2_DSv1,17,0.8805
5.0,DRv2_DSv1,18,0.8515
5.0,DRv2_DSv1,19,0.83
5.0,DRv2_DSv1,20,0.8025
5.0,DRv2_DSv1,21,0.789
5.0,DRv2_DSv1,22,0.771
5.0,DRv2_DSv1,23,0.7575
5.0,DRv2_DSv1,24,0.7465
5.0,DRv2_DSv1,25,0.7345
5.0,DRv2_DSv1,26,0.721
5.0,DRv2_DSv1,27,0.7115
5.0,DRv2_DSv1,28,0.702
5.0,DRv2_DSv1,29,0.6905
5.0,DRv2_DSv1,30,0.6815
5.0,DRv2_DSv1,31,0.675
5.0,DRv2_DSv1,32,0.6675
5.0,DRv2_DSv1,33,0.662
5.0,DRv2_DSv1,34,0.6565
5.0,DRv2_DSv1,35,0.6475
5.0,DRv2_DSv1,36,0.64
5.0,DRv2_DSv1,37,0.631
5.0,DRv2_DSv1,38,0.6215
5.0,DRv2_DSv1,39,0.6125
5.0,DRv2_DSv1,40,0.6045
5.0,DRv2_DSv1,41,0.5985
5.0,DRv2_DSv1,42,0.5885
5.0,DRv2_DSv1,43,0.583
5.0,DRv2_DSv1,44,0.5745
5.0,DRv2_DSv1,45,0.5685
5.0,DRv2_DSv1,46,0.5605
5.0,DRv2_DSv1,47,0.552
5.0,DRv2_DSv1,48,0.546
5.0,DRv2_DSv1,49,0.5395
5.0,DRv2_DSv1,50,0.536
5.0,DRv2_DSv1,51,0.53
5.0,DRv2_DSv1,52,0.5235
5.0,DRv2_DSv1,53,0.5135
5.0,DRv2_DSv1,54,0.511
5.0,DRv2_DSv1,55,0.5035
5.0,DRv2_DSv2,0,1.0
5.0,DRv2_DSv2,1,1.0
5.0,DRv2_DSv2,2,1.0
5.0,DRv2_DSv2,3,1.0
5.0,DRv2_DSv2,4,1.0
5.0,DRv2_DSv2,5,1.0
5.0,DRv2_DSv2,6,1.0
5.0,DRv2_DSv2,7,1.0
5.0,DRv2_DSv2,8,0.9995
5.0,DRv2_DSv2,9,0.999
5.0,DRv2_DSv2,10,0.9955
5.0,DRv2_DSv2,11,0.988
5.0,DRv2_DSv2,12,0.978
5.0,DRv2_DSv2,13,0.965
5.0,DRv2_DSv2,14,0.948
5.0,DRv2_DSv2,15,0.9295
5.0,DRv2_DSv2,16,0.91
5.0,DRv2_DSv2,17,0.889
5.0,DRv2_DSv2,18,0.869
5.0,DRv2_DSv2,19,0.8485
5.0,DRv2_DSv2,20,0.826
5.0,DRv2_DSv2,21,0.815
5.0,DRv2_DSv2,22,0.808
5.0,DRv2_DSv2,23,0.8
5.0,DRv2_DSv2,24,0.7955
5.0,DRv2_DSv2,25,0.789
5.0,DRv2_DSv2,26,0.7835
5.0,DRv2_DSv2,27,0.779
5.0,DRv2_DSv2,28,0.775
5.0,DRv2_DSv2,29,0.7695
5.0,DRv2_DSv2,30,0.765
5.0,DRv2_DSv2,31,0.763
