target_years,spend_ratio,strategy,survival_probability
50,0.035714,110-年齢 (60歳開始),0.3388
50,0.033333,固定最適比率,0.5552
50,0.033333,ダイナミック最適比率,0.7274
50,0.033333,110-年齢 (30歳開始),0.5436000000000001
50,0.033333,110-年齢 (40歳開始),0.5292
50,0.033333,110-年齢 (50歳開始),0.4992
50,0.033333,110-年齢 (60歳開始),0.4468
50,0.03,固定最適比率,0.6716
50,0.03,ダイナミック最適比率,0.8516
50,0.03,110-年齢 (30歳開始),0.6437999999999999
50,0.03,110-年齢 (40歳開始),0.6484
50,0.03,110-年齢 (50歳開始),0.6442
50,0.03,110-年齢 (60歳開始),0.6298
50,0.028571,固定最適比率,0.7505999999999999
50,0.028571,ダイナミック最適比率,0.899
50,0.028571,110-年齢 (30歳開始),0.69
50,0.028571,110-年齢 (40歳開始),0.6994
50,0.028571,110-年齢 (50歳開始),0.7058
50,0.028571,110-年齢 (60歳開始),0.7044
50,0.025,固定最適比率,1.0
50,0.025,ダイナミック最適比率,0.9998
50,0.025,110-年齢 (30歳開始),0.7906
50,0.025,110-年齢 (40歳開始),0.8172
50,0.025,110-年齢 (50歳開始),0.8412
50,0.025,110-年齢 (60歳開始),0.8658
50,0.022222,固定最適比率,1.0
50,0.022222,ダイナミック最適比率,1.0
50,0.022222,110-年齢 (30歳開始),0.863
50,0.022222,110-年齢 (40歳開始),0.8898
50,0.022222,110-年齢 (50歳開始),0.9176
50,0.022222,110-年齢 (60歳開始),0.9446
50,0.02,固定最適比率,0.9996
50,0.02,ダイナミック最適比率,1.0
50,0.02,110-年齢 (30歳開始),0.9114
50,0.02,110-年齢 (40歳開始),0.9344
50,0.02,110-年齢 (50歳開始),0.9596
50,0.02,110-年齢 (60歳開始),0.978
