"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"1998年2月","00000","全国","97.8",""
"1998年3月","00000","全国","98.2",""
"1998年4月","00000","全国","98.4",""
"1998年5月","00000","全国","98.7",""
"1998年6月","00000","全国","98.3",""
"1998年7月","00000","全国","97.7",""
"1998年8月","00000","全国","97.6",""
"1998年9月","00000","全国","98.4",""
"1998年10月","00000","全国","99.1",""
"1998年11月","00000","全国","99.0",""
"1998年12月","00000","全国","98.6",""
"1999年1月","00000","全国","98.1",""
"1999年2月","00000","全国","97.7",""
"1999年3月","00000","全国","97.8",""
"1999年4月","00000","全国","98.3",""
"1999年5月","00000","全国","98.3",""
"1999年6月","00000","全国","98.0",""
"1999年7月","00000","全国","97.6",""
"1999年8月","00000","全国","97.9",""
"1999年9月","00000","全国","98.2",""
"1999年10月","00000","全国","98.4",""
"1999年11月","00000","全国","97.8",""
"1999年12月","00000","全国","97.5",""
"2000年1月","00000","全国","97.4",""
"2000年2月","00000","全国","97.1",""
"2000年3月","00000","全国","97.3",""
"2000年4月","00000","全国","97.5",""
"2000年5月","00000","全国","97.6",""
"2000年6月","00000","全国","97.4",""
"2000年7月","00000","全国","97.1",""
"2000年8月","00000","全国","97.4",""
"2000年9月","00000","全国","97.3",""
"2000年10月","00000","全国","97.3",""
"2000年11月","00000","全国","97.0",""
"2000年12月","00000","全国","97.1",""
"2001年1月","00000","全国","97.1",""
"2001年2月","00000","全国","96.8",""
"2001年3月","00000","全国","96.7",""
"2001年4月","00000","全国","96.8",""
"2001年5月","00000","全国","96.9",""
"2001年6月","00000","全国","96.7",""
"2001年7月","00000","全国","96.4",""
"2001年8月","00000","全国","96.7",""
"2001年9月","00000","全国","96.6",""
"2001年10月","00000","全国","96.6",""
"2001年11月","00000","全国","96.1",""
"2001年12月","00000","全国","96.0",""
"2002年1月","00000","全国","95.8",""
"2002年2月","00000","全国","95.3",""
"2002年3月","00000","全国","95.5",""
"2002年4月","00000","全国","95.8",""
"2002年5月","00000","全国","96.1",""
"2002年6月","00000","全国","96.0",""
"2002年7月","00000","全国","95.6",""
"2002年8月","00000","全国","95.9",""
"2002年9月","00000","全国","95.9",""
"2002年10月","00000","全国","95.7",""
"2002年11月","00000","全国","95.7",""
"2002年12月","00000","全国","95.7",""
"2003年1月","00000","全国","95.4",""
"2003年2月","00000","全国","95.1",""
"2003年3月","00000","全国","95.4",""
"2003年4月","00000","全国","95.7",""
"2003年5月","00000","全国","95.9",""
"2003年6月","00000","全国","95.6",""
"2003年7月","00000","全国","95.4",""
"2003年8月","00000","全国","95.6",""
"2003年9月","00000","全国","95.7",""
"2003年10月","00000","全国","95.7",""
"2003年11月","00000","全国","95.2",""
"2003年12月","00000","全国","95.3",""
"2004年1月","00000","全国","95.1",""
"2004年2月","00000","全国","95.1",""
"2004年3月","00000","全国","95.3",""
"2004年4月","00000","全国","95.3",""
"2004年5月","00000","全国","95.4",""
"2004年6月","00000","全国","95.6",""
"2004年7月","00000","全国","95.3",""
"2004年8月","00000","全国","95.4",""
"2004年9月","00000","全国","95.7",""
"2004年10月","00000","全国","96.2",""
"2004年11月","00000","全国","96.0",""
"2004年12月","00000","全国","95.5",""
"2005年1月","00000","全国","95.3",""
"2005年2月","00000","全国","95.0",""
"2005年3月","00000","全国","95.3",""
"2005年4月","00000","全国","95.4",""
"2005年5月","00000","全国","95.5",""
"2005年6月","00000","全国","95.1",""
"2005年7月","00000","全国","95.0",""
"2005年8月","00000","全国","95.1",""
"2005年9月","00000","全国","95.4",""
"2005年10月","00000","全国","95.4",""
"2005年11月","00000","全国","95.0",""
"2005年12月","00000","全国","95.1",""
"2006年1月","00000","全国","95.2",""
"2006年2月","00000","全国","94.9",""
"2006年3月","00000","全国","95.1",""
"2006年4月","00000","全国","95.3",""
"2006年5月","00000","全国","95.6",""
"2006年6月","00000","全国","95.6",""
"2006年7月","00000","全国","95.3",""
"2006年8月","00000","全国","96.0",""
"2006年9月","00000","全国","96.0",""
"2006年10月","00000","全国","95.8",""
"2006年11月","00000","全国","95.3",""
"2006年12月","00000","全国","95.4",""
"2007年1月","00000","全国","95.2",""
"2007年2月","00000","全国","94.7",""
"2007年3月","00000","全国","95.0",""
"2007年4月","00000","全国","95.3",""
"2007年5月","00000","全国","95.6",""
"2007年6月","00000","全国","95.4",""
"2007年7月","00000","全国","95.3",""
