initial_money,initial_annual_cost,initial_age,scenario,pension_start_age,initial_pension_nominal_annual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
10000,400,30,D,65,103.488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7183999999999999,0.7014,0.6856,0.6736,0.6588,0.651,0.6434,0.6376,0.633,0.627,0.621,0.6134,0.6082000000000001,0.605,0.602,0.5993999999999999,0.5958,0.5920000000000001,0.5882000000000001,0.5848,0.581,0.5764,0.5731999999999999,0.5706,0.5678000000000001,0.5654,0.5634,0.5616,0.5606,0.5589999999999999
10000,400,30,E,60,52.29408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9974,0.993,0.9874,0.9812,0.9716,0.959,0.943,0.9264,0.9084,0.8932,0.875,0.8584,0.8406,0.8224,0.8078,0.7896,0.777,0.7618,0.7488,0.7354,0.7234,0.7112,0.698,0.6878,0.6802,0.6714,0.6624,0.6557999999999999,0.6456,0.6374,0.6315999999999999,0.6255999999999999,0.6195999999999999,0.6155999999999999,0.6082000000000001,0.6042000000000001,0.5976,0.591,0.5862,0.5820000000000001,0.5784,0.5748,0.5700000000000001,0.5674,0.5628,0.5602,0.558
10000,400,30,F,65,68.808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9974,0.993,0.9874,0.9812,0.9716,0.959,0.943,0.9264,0.9084,0.8932,0.875,0.8584,0.8406,0.8224,0.8078,0.7896,0.777,0.7594,0.7434000000000001,0.7272000000000001,0.7103999999999999,0.6946,0.6859999999999999,0.6786,0.6679999999999999,0.6608,0.6528,0.6452,0.637,0.6314,0.626,0.62,0.6164000000000001,0.6112,0.605,0.6008,0.596,0.5906,0.5842,0.5811999999999999,0.5776,0.5740000000000001,0.5720000000000001,0.5691999999999999,0.5654,0.5624,0.5591999999999999
10000,400,30,G,65,38.208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9974,0.993,0.9874,0.9812,0.9716,0.959,0.943,0.9264,0.9084,0.8932,0.875,0.8584,0.8406,0.8224,0.8078,0.7896,0.777,0.7594,0.7434000000000001,0.7272000000000001,0.7103999999999999,0.6946,0.6852,0.6759999999999999,0.6639999999999999,0.6546000000000001,0.6448,0.6346,0.6262,0.6215999999999999,0.6146,0.6086,0.6016,0.5942000000000001,0.5878,0.5816,0.5748,0.5708,0.5660000000000001,0.563,0.5582,0.5532,0.5484,0.5449999999999999,0.5422,0.5378000000000001,0.5349999999999999
10000,400,40,A,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9044,0.8858,0.8692,0.8498,0.8286,0.8106,0.7922,0.7712,0.7545999999999999,0.736,0.7178,0.6992,0.6836,0.6712,0.656,0.6414,0.6312,0.6202,0.6092,0.6004,0.5904,0.5806,0.5698,0.5616,0.5554,0.5496,0.5422,0.5364,0.53,0.5238,0.5178,0.512,0.505,0.4998,0.49439999999999995,0.48960000000000004,0.486,0.48240000000000005,0.4786,0.474
10000,400,40,B,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9052,0.888,0.8714,0.8533999999999999,0.8348,0.815,0.7992,0.7798,0.7636000000000001,0.7464,0.7286,0.7126,0.6946,0.6826,0.6699999999999999,0.6556,0.6422,0.6332,0.6212,0.612,0.6052,0.5958,0.5876,0.5768,0.5688,0.5622,0.5548,0.5498000000000001,0.5452,0.5389999999999999,0.5336000000000001,0.5272,0.5224,0.5176000000000001,0.5124,0.5067999999999999,0.503,0.4982,0.494,0.49119999999999997
10000,400,40,C,60,99.44448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9102,0.8982,0.8872,0.8752,0.8634,0.8516,0.8392,0.827,0.8162,0.8058,0.793,0.7834,0.7742,0.7674,0.756,0.7474000000000001,0.7388,0.7286,0.7183999999999999,0.7106,0.7032,0.698,0.6932,0.6876,0.681,0.675,0.6698,0.6668000000000001,0.661,0.6564,0.6497999999999999,0.6466000000000001,0.6442,0.6412,0.637,0.6324000000000001,0.6302,0.6274,0.6252,0.6228
10000,400,40,D,65,130.848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9994,0.9982,0.9942,0.9902,0.9822,0.9722,0.9596,0.943,0.9236,0.9052,0.888,0.8714,0.8533999999999999,0.8348,0.8220000000000001,0.8122,0.8062,0.7928,0.7826,0.7754,0.7668,0.759,0.75,0.7412000000000001,0.7343999999999999,0.7252000000000001,0.7188,0.7123999999999999,0.7066,0.7001999999999999,0.6954,0.6914,0.6864,0.6812,0.677,0.6739999999999999,0.6702,0.6664,0.6638,0.6606000000000001,0.6577999999999999,0.6526000000000001,0.6502,0.6474,0.6454,0.6432,0.6408,0.638,0.6344000000000001
10000,400,40,E,60,80.83968000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9974,0.993,0.9874,0.9812,0.9716,0.959,0.943,0.9299999999999999,0.916,0.9046,0.8926000000000001,0.8812,0.8676,0.8558,0.8428,0.8294,0.8194,0.8058,0.7948,0.7846,0.774,0.7652,0.755,0.7462,0.737,0.7278,0.7170000000000001,0.7070000000000001,0.6990000000000001,0.6936,0.6861999999999999,0.6794,0.6739999999999999,0.6679999999999999,0.6636,0.6574,0.6514,0.6464,0.6414,0.638,0.636,0.6304000000000001,0.6266,0.6232,0.619,0.6166,0.613
10000,400,40,F,65,106.368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9974,0.993,0.9874,0.9812,0.9716,0.959,0.943,0.9264,0.9084,0.8932,0.875,0.8584,0.8454,0.8351999999999999,0.8231999999999999,0.8134,0.8024,0.7906,0.7822,0.7742,0.7646,0.7554,0.7478,0.74,0.7302,0.721,0.7110000000000001,0.7028,0.6976,0.6928000000000001,0.687,0.6808000000000001,0.6759999999999999,0.6694,0.665,0.6616,0.6568,0.6524,0.6472,0.644,0.6424000000000001,0.6386000000000001,0.6346,0.6308,0.6288,0.627,0.6248
