threshold_x,max_year_y,income_percent_z,scenario,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.05,30,1.0,"X=5%, Y=30, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9982,0.9938,0.9864,0.978,0.9652,0.9528,0.939,0.9222,0.9024,0.882,0.8642,0.845,0.8262,0.8086,0.7876,0.7692,0.7542,0.7382,0.7232
0.05,40,0.25,"X=5%, Y=40, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9978,0.9942,0.9904,0.9838,0.9754,0.9648,0.9528,0.9398,0.926,0.9118,0.8956,0.8814,0.8652,0.851,0.8348,0.819,0.804,0.7874,0.7726,0.756,0.7388,0.7234,0.7118,0.6966,0.6814,0.6698,0.6568,0.645,0.6326,0.6172,0.602,0.5866,0.576,0.5664,0.5558,0.547,0.5368,0.526
0.05,40,0.5,"X=5%, Y=40, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9982,0.9966,0.9948,0.9906,0.9874,0.9828,0.9788,0.9732,0.9682,0.9596,0.9506,0.941,0.9342,0.926,0.916,0.9078,0.8976,0.8872,0.876,0.865,0.855,0.8444,0.8344,0.8268,0.8162,0.8,0.7794,0.76,0.7428,0.7266,0.711,0.6972,0.68,0.6628,0.6494
0.05,40,0.75,"X=5%, Y=40, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9996,0.999,0.9986,0.998,0.998,0.9976,0.9956,0.994,0.9934,0.9922,0.9906,0.9892,0.9868,0.9844,0.9816,0.9792,0.9756,0.972,0.969,0.9654,0.96,0.9494,0.9326,0.9164,0.8976,0.8816,0.8646,0.8458,0.8274,0.808,0.79
0.05,40,1.0,"X=5%, Y=40, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9976,0.9906,0.9808,0.9702,0.9572,0.9424,0.927,0.9116,0.892
0.05,50,0.25,"X=5%, Y=50, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9978,0.9942,0.9904,0.9838,0.9754,0.9648,0.9528,0.9398,0.926,0.9118,0.8956,0.8814,0.8652,0.851,0.8348,0.819,0.804,0.7874,0.7726,0.756,0.7388,0.7234,0.7118,0.6966,0.6814,0.6698,0.6568,0.645,0.6362,0.6244,0.6138,0.6026,0.5906,0.5818,0.574,0.5676,0.5592,0.5526
0.05,50,0.5,"X=5%, Y=50, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.9982,0.9966,0.9948,0.9906,0.9874,0.9828,0.9788,0.9732,0.9682,0.9596,0.9506,0.941,0.9342,0.926,0.916,0.9078,0.8976,0.8872,0.876,0.865,0.855,0.8444,0.8344,0.8268,0.8162,0.8078,0.7984,0.7882,0.7796,0.77,0.759,0.7502,0.7422,0.7342,0.7276
0.05,50,0.75,"X=5%, Y=50, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9996,0.999,0.9986,0.998,0.998,0.9976,0.9956,0.994,0.9934,0.9922,0.9906,0.9892,0.9868,0.9844,0.9816,0.9792,0.9756,0.972,0.969,0.9654,0.96,0.9572,0.9544,0.9522,0.948,0.9442,0.9408,0.936,0.932,0.9278,0.924
0.05,50,1.0,"X=5%, Y=50, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,10,0.25,"X=6%, Y=10, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9982,0.9938,0.9884,0.978,0.9618,0.9428,0.926,0.9058,0.8836,0.8636,0.8406,0.8186,0.7966,0.7702,0.7462,0.7238,0.7052,0.6812,0.6622,0.6456,0.6278,0.613,0.5972,0.5838,0.5668,0.5542,0.5418,0.5312,0.523,0.5132,0.506,0.4962,0.4888,0.482,0.4748,0.4684,0.4606,0.4542,0.4484
0.06,10,0.5,"X=6%, Y=10, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9948,0.9896,0.978,0.9662,0.9466,0.9264,0.9056,0.8826,0.8584,0.8398,0.8164,0.7916,0.7674,0.7426,0.723,0.7016,0.6814,0.6616,0.6434,0.6272,0.612,0.598,0.5832,0.5702,0.5578,0.5464,0.5386,0.5272,0.5198,0.5076,0.4996,0.4912,0.4838,0.478,0.4708,0.4652,0.4594
0.06,10,0.75,"X=6%, Y=10, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.998,0.9944,0.9876,0.9778,0.9654,0.9464,0.9258,0.9016,0.877,0.8566,0.8326,0.8094,0.7848,0.7614,0.7412,0.717,0.6972,0.6784,0.6588,0.6416,0.626,0.6094,0.5928,0.5796,0.5678,0.5572,0.5486,0.5376,0.531,0.52,0.5104,0.502,0.4942,0.488,0.4794,0.4736,0.4676
0.06,10,1.0,"X=6%, Y=10, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9974,0.9944,0.9866,0.9742,0.9606,0.9412,0.9242,0.8948,0.8732,0.8488,0.8266,0.802,0.7774,0.7554,0.7344,0.7146,0.693,0.6744,0.656,0.6384,0.625,0.607,0.5912,0.5782,0.5658,0.5572,0.5468,0.5392,0.5298,0.518,0.5098,0.5004,0.494,0.4866,0.4792,0.474
0.06,20,0.25,"X=6%, Y=20, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9974,0.9938,0.99,0.983,0.9734,0.9618,0.9492,0.9362,0.9154,0.8942,0.8734,0.8516,0.8276,0.8062,0.785,0.7584,0.7348,0.7134,0.695,0.6708,0.6546,0.6338,0.6196,0.6012,0.587,0.574,0.5596,0.5494,0.5354,0.5262,0.5172,0.51,0.5008,0.493,0.4858,0.4758,0.4688,0.4616
0.06,20,0.5,"X=6%, Y=20, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9982,0.996,0.9938,0.9894,0.9856,0.977,0.9602,0.944,0.9246,0.9018,0.8784,0.8552,0.8282,0.807,0.782,0.7576,0.7326,0.7106,0.6922,0.674,0.6526,0.6356,0.6192,0.6064,0.5926,0.5792,0.5682,0.557,0.5458,0.5356,0.525,0.5178,0.5084,0.5012,0.4946
0.06,20,0.75,"X=6%, Y=20, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9972,0.9922,0.9846,0.9726,0.9602,0.941,0.9188,0.8978,0.8698,0.8434,0.8196,0.7912,0.7676,0.7444,0.7216,0.7006,0.6806,0.665,0.6466,0.6324,0.617,0.6064,0.5952,0.5774,0.567,0.5576,0.55,0.54,0.5304,0.5232
0.06,20,1.0,"X=6%, Y=20, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.9974,0.9936,0.9846,0.9744,0.961,0.946,0.9206,0.898,0.8702,0.8436,0.8188,0.7954,0.7694,0.7474,0.724,0.7046,0.685,0.6692,0.6514,0.6382,0.6242,0.609,0.5976,0.5852,0.5756,0.5664,0.558,0.55
0.06,30,0.25,"X=6%, Y=30, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9974,0.9938,0.99,0.983,0.9734,0.9618,0.9492,0.9362,0.9206,0.9046,0.89,0.8736,0.8576,0.84,0.8212,0.8068,0.7916,0.7736,0.7514,0.727,0.7076,0.6886,0.6684,0.6502,0.6312,0.6156,0.5984,0.5832,0.5704,0.5568,0.5444,0.5338,0.5242,0.5148,0.5066,0.4958,0.487,0.4794
0.06,30,0.5,"X=6%, Y=30, Z=50%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9982,0.996,0.9938,0.9894,0.9856,0.9808,0.9766,0.97,0.9602,0.9514,0.9428,0.9344,0.9238,0.9146,0.9048,0.8836,0.8576,0.8334,0.811,0.7886,0.766,0.744,0.7222,0.702,0.678,0.659,0.6378,0.6216,0.6074,0.5932,0.5814,0.57,0.557,0.5442,0.5344
0.06,30,0.75,"X=6%, Y=30, Z=75%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9988,0.9982,0.998,0.9978,0.9952,0.9942,0.9936,0.9928,0.9908,0.9894,0.9766,0.9622,0.9442,0.9292,0.9032,0.8822,0.8584,0.832,0.81,0.7836,0.7624,0.736,0.711,0.692,0.6732,0.6578,0.645,0.629,0.6148,0.6018
0.06,30,1.0,"X=6%, Y=30, Z=100%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.998,0.9922,0.9826,0.9718,0.9564,0.9396,0.916,0.8924,0.8694,0.8448,0.8198,0.7962,0.7686,0.7486,0.7248,0.7076,0.6916,0.6774,0.6614
0.06,40,0.25,"X=6%, Y=40, Z=25%",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9974,0.9938,0.99,0.983,0.9734,0.9618,0.9492,0.9362,0.9206,0.9046,0.89,0.8736,0.8576,0.84,0.8212,0.8068,0.7916,0.7736,0.7558,0.7392,0.721,0.7068,0.6938,0.6782,0.663,0.6512,0.6396,0.6254,0.6118,0.5954,0.58,0.566,0.5544,0.5458,0.5338,0.523,0.511,0.5006
