upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.04,0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9952,0.9918,0.9844,0.976,0.9626,0.9466,0.9324,0.9158,0.8942,0.8716,0.8464,0.8240000000000001,0.7988,0.775,0.751,0.731,0.7090000000000001,0.6819999999999999,0.6612,0.6434,0.6255999999999999,0.6048,0.5846,0.5656,0.5466,0.5286,0.509,0.49560000000000004,0.481,0.4658,0.4506,0.4376,0.42479999999999996,0.4132,0.4014,0.39080000000000004,0.37960000000000005,0.37039999999999995,0.3618
0.04,0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9986,0.9964,0.9936,0.9884,0.9796,0.9706,0.9576,0.9432,0.9294,0.913,0.8942,0.874,0.8516,0.83,0.8078,0.7858,0.766,0.745,0.7272000000000001,0.7063999999999999,0.6839999999999999,0.6642,0.6477999999999999,0.629,0.6106,0.5944,0.5776,0.5616,0.5458000000000001,0.5314,0.5167999999999999,0.5044,0.48819999999999997,0.47440000000000004,0.45840000000000003,0.44620000000000004,0.4356,0.42579999999999996,0.4162,0.40580000000000005
0.04,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.997,0.9944,0.9906,0.9834,0.9768,0.9656,0.9536,0.9410000000000001,0.9284,0.9136,0.8952,0.8792,0.8593999999999999,0.8382000000000001,0.8202,0.7998000000000001,0.781,0.766,0.7462,0.7274,0.71,0.6908000000000001,0.6758,0.6579999999999999,0.6414,0.625,0.608,0.5953999999999999,0.5804,0.567,0.5538000000000001,0.5389999999999999,0.524,0.5104,0.498,0.48719999999999997,0.47640000000000005,0.46599999999999997,0.45520000000000005
0.04,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9952,0.9926,0.9876,0.9806,0.9734,0.9616,0.953,0.9386,0.9282,0.9148000000000001,0.9002,0.8842,0.8688,0.8502000000000001,0.832,0.8136,0.7982,0.7822,0.7674,0.751,0.7348,0.7186,0.7028,0.6901999999999999,0.6732,0.6588,0.6414,0.6284000000000001,0.6162000000000001,0.6056,0.591,0.579,0.5680000000000001,0.5552,0.5428,0.5302,0.5206,0.5107999999999999
0.04,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.998,0.9964,0.9942,0.9902,0.9842,0.9788,0.9708,0.9596,0.9512,0.9390000000000001,0.9302,0.9194,0.9064,0.8926000000000001,0.8776,0.8644000000000001,0.849,0.8324,0.817,0.8022,0.7886,0.7746,0.7608,0.745,0.7345999999999999,0.7206,0.706,0.6944,0.6804,0.6652,0.6517999999999999,0.6404000000000001,0.6288,0.619,0.6072,0.5938,0.5860000000000001,0.5758,0.5668
0.04,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9988,0.9972,0.9948,0.9926,0.988,0.9828,0.977,0.9686,0.9604,0.95,0.9414,0.9328,0.9236,0.912,0.9022,0.8884,0.8764,0.8662,0.8506,0.8384,0.8254,0.8126,0.7989999999999999,0.7867999999999999,0.7736000000000001,0.7644,0.7528,0.7414000000000001,0.7292000000000001,0.7148,0.702,0.6918,0.6798,0.6692,0.6588,0.6457999999999999,0.638,0.628,0.6175999999999999
0.04,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9978,0.9962,0.9942,0.9912,0.987,0.9818,0.9754,0.9698,0.9606,0.9518,0.9444,0.9372,0.9298,0.9214,0.91,0.8986,0.8882,0.8802,0.8696,0.8588,0.8462000000000001,0.8362,0.8242,0.8126,0.8026,0.792,0.7812,0.7734,0.7614,0.7514000000000001,0.7396,0.7303999999999999,0.7208,0.71,0.6990000000000001,0.6912,0.6806,0.671
0.05,0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9966,0.9936,0.988,0.977,0.961,0.9438,0.9246,0.9006,0.8744000000000001,0.844,0.8124,0.7838,0.7572,0.7243999999999999,0.6938,0.6638,0.6364000000000001,0.6108,0.5828,0.5602,0.5352,0.5092,0.4828,0.46540000000000004,0.44399999999999995,0.42200000000000004,0.40559999999999996,0.38780000000000003,0.3712,0.35860000000000003,0.3428,0.3284,0.31620000000000004,0.3042,0.2944,0.28080000000000005,0.2692,0.258,0.24819999999999998,0.2398
0.05,0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9992,0.9974,0.9942,0.99,0.9808,0.9686,0.9536,0.9362,0.9186,0.8952,0.8698,0.8416,0.812,0.7862,0.7604,0.7334,0.7048,0.6779999999999999,0.6514,0.6284000000000001,0.6018,0.5798,0.5568,0.5358,0.5096,0.49019999999999997,0.4698,0.4504,0.43300000000000005,0.41700000000000004,0.40180000000000005,0.38859999999999995,0.374,0.35760000000000003,0.34519999999999995,0.3338,0.3228,0.30800000000000005,0.2962,0.2844,0.27559999999999996
0.05,0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9982,0.9952,0.9918,0.9844,0.9754,0.9624,0.9456,0.9308,0.9138,0.891,0.866,0.8424,0.8176,0.7928,0.7684,0.7418,0.7206,0.6946,0.6678,0.649,0.6288,0.6032,0.581,0.5576,0.5422,0.5204,0.49960000000000004,0.47819999999999996,0.4628,0.4506,0.43479999999999996,0.4192,0.40680000000000005,0.39080000000000004,0.3762,0.36660000000000004,0.354,0.34099999999999997,0.3276,0.31799999999999995
0.05,0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9986,0.9964,0.9936,0.9882,0.9794,0.9698,0.9564,0.9422,0.928,0.912,0.8906000000000001,0.8696,0.847,0.8238,0.8008,0.7786,0.7564,0.7323999999999999,0.7146,0.6908000000000001,0.6699999999999999,0.6482,0.6275999999999999,0.6082000000000001,0.585,0.5686,0.5508,0.5329999999999999,0.5174000000000001,0.4988,0.4848,0.4668,0.4536,0.4386,0.42200000000000004,0.4094,0.3964,0.38539999999999996,0.37660000000000005,0.363
