upper_limit,lower_limit,is_dynamic_rebalance,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.04,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9956,0.9942,0.9902,0.9856,0.98,0.9752,0.969,0.9612,0.956,0.947,0.9388,0.9296,0.9192,0.9074,0.8966,0.8855999999999999,0.8764,0.866,0.8558,0.8442000000000001,0.8306,0.8198,0.8084,0.7972,0.7854,0.7756000000000001,0.7642,0.7545999999999999,0.7442,0.733,0.7238,0.7121999999999999,0.7021999999999999,0.6930000000000001,0.6818
0.04,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9986,0.9968,0.9948,0.9914,0.9874,0.9818,0.9762,0.969,0.9614,0.9538,0.9466,0.9359999999999999,0.9246,0.9128000000000001,0.8994,0.886,0.8756,0.8644000000000001,0.851,0.8368,0.8222,0.8109999999999999,0.7978000000000001,0.7874,0.7718,0.7592,0.7448,0.7332000000000001,0.7243999999999999,0.714,0.7026,0.6890000000000001,0.679,0.6699999999999999,0.6586000000000001,0.649,0.6377999999999999
0.04,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.9934,0.9894,0.984,0.9788,0.9694,0.962,0.9534,0.9452,0.9332,0.9208,0.9066,0.8912,0.8782,0.8648,0.8508,0.84,0.8198,0.8046,0.7922,0.7776000000000001,0.763,0.7474000000000001,0.7323999999999999,0.7198,0.7094,0.6968,0.685,0.6719999999999999,0.6568,0.6462,0.634,0.6234,0.6118,0.5992,0.5858
0.04,-0.0,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9972,0.9946,0.9914,0.9866,0.9802,0.9716,0.9636,0.9542,0.9452,0.9322,0.9182,0.9018,0.8858,0.8702,0.8564,0.8402000000000001,0.8236,0.8058,0.7874,0.773,0.7574,0.7418,0.7243999999999999,0.7110000000000001,0.6961999999999999,0.683,0.6694,0.6546000000000001,0.6414,0.6246,0.6102000000000001,0.5976,0.5866,0.5706,0.5604,0.5494,0.5384
0.05,-0.03,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9954,0.9938,0.9916,0.989,0.9838,0.98,0.9778,0.9728,0.9688,0.9632000000000001,0.9572,0.9504,0.9456,0.9376,0.9304,0.9226,0.9158,0.909,0.9024,0.8944,0.8855999999999999,0.8788,0.873,0.8646,0.855,0.8462000000000001,0.8384,0.8314,0.8248,0.8144,0.8076,0.7996,0.7942
0.05,-0.025,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9978,0.996,0.9942,0.992,0.9888,0.9838,0.9792,0.9758,0.9702,0.966,0.9598,0.951,0.9446,0.9374,0.9316,0.922,0.9126,0.9038,0.8932,0.8882,0.878,0.8698,0.8618,0.8533999999999999,0.8424,0.833,0.8236,0.8146,0.8046,0.7966,0.7876,0.7798,0.774,0.7674,0.7598
0.05,-0.02,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9986,0.9968,0.9948,0.9928,0.9886,0.9842,0.979,0.9746,0.9686,0.9636,0.9558,0.949,0.9408,0.9328,0.9228,0.9122,0.9012,0.8926000000000001,0.8822,0.8728,0.864,0.855,0.8436,0.8331999999999999,0.8224,0.8104,0.7998000000000001,0.7898000000000001,0.7822,0.7724,0.7632,0.753,0.7458,0.7358,0.7246,0.7130000000000001
0.05,-0.015,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9992,0.9976,0.9956,0.9942,0.99,0.985,0.9796,0.9742,0.968,0.961,0.955,0.9456,0.9359999999999999,0.9266,0.916,0.9036,0.8912,0.8796,0.8712,0.86,0.8504,0.8354,0.8214,0.8109999999999999,0.7994,0.785,0.774,0.7624,0.7528,0.7414000000000001,0.728,0.7172000000000001,0.7058,0.6956,0.6836,0.6724,0.6619999999999999
0.05,-0.01,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9986,0.9968,0.9948,0.991,0.9872,0.9816,0.976,0.9686,0.9606,0.9534,0.9446,0.9326,0.9216,0.91,0.8934,0.8824,0.8716,0.8582,0.8432,0.8276,0.8146,0.8032,0.7886,0.7754,0.76,0.7448,0.7325999999999999,0.7206,0.7108,0.6986,0.6834,0.6726,0.6626000000000001,0.6492,0.637,0.6272,0.614
0.05,-0.005,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9992,0.9984,0.9956,0.993,0.9894,0.9836,0.9786,0.969,0.961,0.9534,0.9438,0.9299999999999999,0.9174,0.904,0.8876,0.8738,0.86,0.8444,0.8314,0.8132,0.7966,0.7827999999999999,0.7674,0.752,0.735,0.7218,0.7074,0.6964,0.6824,0.6694,0.653,0.6372,0.6244000000000001,0.6113999999999999,0.5986,0.5860000000000001,0.5734,0.5616
0.05,-0.0,0,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.999,0.9972,0.9944,0.9912,0.9864,0.9798,0.9712,0.9628,0.9538,0.9436,0.9298,0.9154,0.8996,0.881,0.8648,0.8506,0.8351999999999999,0.8178,0.7982,0.7774,0.7634,0.7482,0.7286,0.712,0.6988,0.6852,0.667,0.6516,0.6355999999999999,0.6208,0.604,0.5912,0.577,0.5640000000000001,0.5472,0.5347999999999999,0.5236000000000001,0.5126
