upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.04,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9962,0.9928,0.9882,0.9818,0.973,0.9612,0.9488,0.9316,0.9146,0.8968,0.8786,0.8584,0.839,0.8206,0.7988,0.782,0.7605999999999999,0.7382,0.7214,0.7044,0.6848000000000001,0.6646000000000001,0.647,0.6315999999999999,0.6154,0.5978,0.5786,0.5636,0.5502,0.538,0.5207999999999999,0.505,0.4888,0.47419999999999995,0.46099999999999997,0.45020000000000004,0.4406,0.4292,0.4162
0.04,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9954,0.992,0.9862,0.9776,0.9656,0.953,0.9356,0.9184,0.8996,0.8764,0.8572,0.8351999999999999,0.813,0.7918000000000001,0.771,0.7468,0.7243999999999999,0.7046,0.6848000000000001,0.6648000000000001,0.6434,0.624,0.6082000000000001,0.5856,0.571,0.5534,0.5376000000000001,0.523,0.5078,0.492,0.4748,0.45999999999999996,0.44599999999999995,0.4316,0.42200000000000004,0.40959999999999996,0.4,0.38859999999999995,0.3788
0.04,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9902,0.9832,0.9732,0.9572,0.942,0.9228,0.9028,0.8796,0.8576,0.835,0.8089999999999999,0.7867999999999999,0.7605999999999999,0.7362,0.7128,0.6886,0.6664,0.6464,0.627,0.606,0.5840000000000001,0.565,0.5484,0.5326,0.5112,0.4938,0.4766,0.45940000000000003,0.44220000000000004,0.4276,0.41279999999999994,0.401,0.3892,0.379,0.36819999999999997,0.3588,0.34840000000000004,0.3386
0.04,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9976,0.9926,0.9878,0.9798,0.966,0.949,0.9298,0.909,0.8838,0.86,0.835,0.8066,0.7818,0.7544,0.7292000000000001,0.7006,0.6736,0.6514,0.6304000000000001,0.6075999999999999,0.5840000000000001,0.5622,0.5436000000000001,0.52,0.5028,0.4838,0.4628,0.44720000000000004,0.4286,0.41500000000000004,0.39959999999999996,0.386,0.3738,0.364,0.3516,0.3388,0.32820000000000005,0.3176,0.30800000000000005,0.2982
0.04,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9966,0.9918,0.9854,0.9748,0.9562,0.9390000000000001,0.9166,0.8922,0.865,0.8406,0.8094,0.7776000000000001,0.751,0.7208,0.6918,0.665,0.639,0.6166,0.5908,0.5640000000000001,0.5434,0.5218,0.499,0.47819999999999996,0.4588,0.43820000000000003,0.42000000000000004,0.4034,0.391,0.37639999999999996,0.36240000000000006,0.3468,0.3376,0.3254,0.31579999999999997,0.30379999999999996,0.2946,0.28480000000000005,0.27459999999999996,0.26480000000000004
0.05,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.998,0.995,0.9918,0.9878,0.9806,0.9738,0.9634,0.9548,0.9428,0.9282,0.9138,0.8968,0.8812,0.8624,0.8472,0.8338,0.8188,0.798,0.7806,0.7654,0.7476,0.7306,0.7123999999999999,0.6966,0.683,0.6704,0.6566000000000001,0.6382,0.6235999999999999,0.6066,0.5918,0.5771999999999999,0.5644,0.5498000000000001,0.534,0.5202,0.5082,0.4952,0.48560000000000003
0.05,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9974,0.994,0.9904,0.9846,0.9778,0.9662,0.9572,0.9454,0.9299999999999999,0.9114,0.8938,0.8762,0.86,0.8406,0.821,0.8064,0.7827999999999999,0.7654,0.746,0.7262,0.7096,0.694,0.6766,0.6604,0.645,0.6278,0.609,0.5896,0.5744,0.5569999999999999,0.5426,0.528,0.514,0.5008,0.486,0.4728,0.4608,0.45020000000000004,0.43899999999999995
0.05,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9962,0.9928,0.9882,0.9814,0.9724,0.9601999999999999,0.9474,0.9298,0.9117999999999999,0.8944,0.875,0.8548,0.8348,0.8142,0.7932,0.7744,0.7496,0.729,0.7110000000000001,0.6906,0.6732,0.6506000000000001,0.6328,0.6172,0.597,0.5760000000000001,0.5588,0.5429999999999999,0.5287999999999999,0.5134000000000001,0.4968,0.48240000000000005,0.46440000000000003,0.4506,0.4396,0.4266,0.4174,0.406,0.39459999999999995
0.05,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9954,0.992,0.986,0.9774,0.9654,0.952,0.9346,0.9158,0.8952,0.8748,0.8542,0.8304,0.8066,0.7838,0.763,0.7376,0.7148,0.6934,0.673,0.652,0.6288,0.6102000000000001,0.5924,0.5702,0.5528,0.5358,0.5192,0.5012,0.48460000000000003,0.4698,0.4508,0.43379999999999996,0.4206,0.40759999999999996,0.39680000000000004,0.38680000000000003,0.373,0.36,0.3476
0.05,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9902,0.9832,0.973,0.9564,0.9408,0.921,0.9002,0.8756,0.8552,0.83,0.8044,0.7782,0.7525999999999999,0.7274,0.7028,0.6776,0.6552,0.6322,0.613,0.5898,0.5696,0.5482,0.5294,0.5094000000000001,0.486,0.4688,0.4528,0.4346,0.4172,0.4024,0.3912,0.37960000000000005,0.3668,0.354,0.34199999999999997,0.3304,0.31779999999999997,0.30779999999999996
0.05,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9974,0.9926,0.9872,0.9796,0.9656,0.9482,0.9286,0.907,0.8806,0.8584,0.8304,0.8022,0.775,0.7472,0.72,0.6914,0.6624,0.6402,0.6166,0.5936,0.5684,0.5468,0.5254,0.5008,0.4786,0.45820000000000005,0.44120000000000004,0.4226,0.4062,0.39239999999999997,0.37460000000000004,0.36339999999999995,0.35040000000000004,0.3368,0.32299999999999995,0.3106,0.3004,0.29079999999999995,0.27759999999999996,0.26980000000000004
0.05,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9966,0.9916,0.9854,0.9748,0.9558,0.938,0.915,0.89,0.8628,0.8366,0.8062,0.7738,0.7422,0.7130000000000001,0.6821999999999999,0.6532,0.628,0.6032,0.5782,0.5504,0.5234,0.4992,0.47740000000000005,0.4568,0.4366,0.4154,0.39880000000000004,0.38160000000000005,0.36839999999999995,0.35140000000000005,0.33720000000000006,0.3268,0.3136,0.2996,0.2882,0.2782,0.26739999999999997,0.255,0.24519999999999997,0.23839999999999995
